"","Method","Coefficient","Zero_Count","Near_Zero_Count","Average_Value","SD_Value"
"1","ElasticNet","X0",0,0,-7.44334258166982,0.000650068101124578
"2","ElasticNet","X10",120,0,0,0
"3","ElasticNet","X11",0,0,3.59299252441714,0.00574137061152669
"4","ElasticNet","X2",120,0,0,0
"5","ElasticNet","X3",120,0,0,0
"6","ElasticNet","X4",0,0,2.46189439015859,0.0085327710782848
"7","ElasticNet","X5",0,0,7.31860093405695,0.00545864174269364
"8","ElasticNet","X6",0,0,2.65092047090989,0.00649290934159315
"9","ElasticNet","X7",0,0,-9.58563089606382,0.00743325709786084
"10","ElasticNet","X8",0,0,-0.0795443392453665,0.00860964451355119
"11","ElasticNet","X9",0,0,-0.0466365169731121,0.00847066641615541
"12","Lasso","X0",0,0,-7.4324487103699,0.00286738825475126
"13","Lasso","X10",120,0,0,0
"14","Lasso","X11",0,0,3.35981364111374,0.0366085055979021
"15","Lasso","X2",120,0,0,0
"16","Lasso","X3",120,0,0,0
"17","Lasso","X4",0,0,2.20311892658565,0.0376388120573851
"18","Lasso","X5",0,0,7.13483886544125,0.0260694088318785
"19","Lasso","X6",0,0,2.45487683649877,0.0290050252487965
"20","Lasso","X7",0,0,-9.32487554035126,0.0391749971428647
"21","Lasso","X8",120,0,0,0
"22","Lasso","X9",120,0,0,0
"23","Ridge","X0",0,0,-7.41800843716889,0.00119298705974306
"24","Ridge","X10",0,0,0.0649870590217954,7.58616650358683e-05
"25","Ridge","X11",0,0,3.49446597006018,0.0242557035096884
"26","Ridge","X2",0,29,0.0117108228711663,0.00916164177620997
"27","Ridge","X3",0,17,0.0119081080141354,0.00671341284224978
"28","Ridge","X4",0,0,2.40184668565664,0.0234924347931896
"29","Ridge","X5",0,0,7.08232405448597,0.041852255116157
"30","Ridge","X6",0,0,2.63002826852651,0.0125034100136879
"31","Ridge","X7",0,0,-9.22130559249281,0.0619749168487673
"32","Ridge","X8",0,0,-0.163076313637357,0.0023789758063349
"33","Ridge","X9",0,0,-0.149777478302214,0.000889823751821929
