"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Method"
11,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
12,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
13,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
14,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
15,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
16,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
17,0.867561547531142,0,-0.013,5.013,1.852,0.983,-5.01541176723477,2.31878645228565,2.00690402611722,2.40062183860572,6.57997432604456,2.82509045687667,-9.25677681011588,-5.22020812710296,3.01290425310632,0.0604704698532275,3.50162661160548,"Ridge"
18,1.37836629124466,0,-0.113,6.101,2.006,0.98,-5.02561381904715,2.24216266100366,1.90882923766737,2.31046508208965,6.39279020363504,2.70751878607661,-8.96168468621181,-5.03388938692069,2.90867175096772,0.0723541843132279,3.43472885105083,"Ridge"
19,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
20,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
21,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
22,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
23,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
24,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
25,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
26,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
27,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
28,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
29,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
30,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
31,1.37836629124466,0,-0.113,6.101,2.006,0.98,-5.02561381904715,2.24216266100366,1.90882923766737,2.31046508208965,6.39279020363504,2.70751878607661,-8.96168468621181,-5.03388938692069,2.90867175096772,0.0723541843132279,3.43472885105083,"Ridge"
32,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
33,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
34,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
35,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
36,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
37,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
38,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
39,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
40,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
41,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
42,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
43,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
44,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
45,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
46,1.37836629124466,0,-0.113,6.101,2.006,0.98,-5.02561381904715,2.24216266100366,1.90882923766737,2.31046508208965,6.39279020363504,2.70751878607661,-8.96168468621181,-5.03388938692069,2.90867175096772,0.0723541843132279,3.43472885105083,"Ridge"
47,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
48,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
49,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
50,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
51,1.37836629124466,0,-0.113,6.101,2.006,0.98,-5.02561381904715,2.24216266100366,1.90882923766737,2.31046508208965,6.39279020363504,2.70751878607661,-8.96168468621181,-5.03388938692069,2.90867175096772,0.0723541843132279,3.43472885105083,"Ridge"
52,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
53,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
54,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
55,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
56,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
57,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
58,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
59,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
60,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
61,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
62,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
63,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
64,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
65,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
66,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
67,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
68,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
69,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
70,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
71,0.867561547531142,0,-0.013,5.013,1.852,0.983,-5.01541176723477,2.31878645228565,2.00690402611722,2.40062183860572,6.57997432604456,2.82509045687667,-9.25677681011588,-5.22020812710296,3.01290425310632,0.0604704698532275,3.50162661160548,"Ridge"
72,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
73,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
74,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
75,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
76,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
77,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
78,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
79,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
80,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
81,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
82,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
83,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
84,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
85,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
86,0.867561547531142,0,-0.013,5.013,1.852,0.983,-5.01541176723477,2.31878645228565,2.00690402611722,2.40062183860572,6.57997432604456,2.82509045687667,-9.25677681011588,-5.22020812710296,3.01290425310632,0.0604704698532275,3.50162661160548,"Ridge"
87,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
88,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
89,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
90,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
91,1.27600953253663,0,-0.094,5.844,1.971,0.981,-5.02355818613714,2.2571192904311,1.92778168229588,2.32796216160155,6.42944027579408,2.73031123534542,-9.0192280064756,-5.07013498593364,2.92900682724298,0.0701001673266154,3.44804474967268,"Ridge"
92,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
93,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
94,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
95,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
96,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
97,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
98,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
99,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
100,0.93715412166222,0,-0.028,5.132,1.868,0.983,-5.01679204600348,2.30804891393885,1.99301306242932,2.38790944829639,6.55382947287999,2.8084938049518,-9.21537879887455,-5.19400355468791,2.99828998569935,0.0621861212617864,3.49245023465918,"Ridge"
101,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
102,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
103,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
104,1.01232915433814,0,-0.043,5.271,1.888,0.982,-5.01828700429761,2.29655820209684,1.97820122131694,2.37433401411421,6.52581989603986,2.7907768649051,-9.17109419630578,-5.16599553506724,2.98265331111728,0.0640039343108682,3.48255842023811,"Ridge"
105,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
106,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
107,1.18125373310898,0,-0.076,5.623,1.94,0.981,-5.02165951930199,2.27113934410785,1.94563124743322,2.34440766157982,6.46374551311461,2.75174532509344,-9.07319230319906,-5.10416466669107,2.94807340562391,0.0679583894097119,3.4604135608159,"Ridge"
108,1.09353444970745,0,-0.059,5.433,1.911,0.982,-5.01990610254252,2.28427015189868,1.96242258844296,2.35984911742529,6.49583135401669,2.7718805891714,-9.12375590021197,-5.13608345972152,2.9659347908876,0.065927089393737,3.47189826218642,"Ridge"
