"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.365247034746778,1,-0.453,3.94,1.543,0.977,-7.42819533932607,0,0,2.14728699204957,7.0961685289525,2.41185192199192,-9.26676488923409,0,0,0,3.30551002268684
2,0.314173565510284,1,-0.425,3.759,1.498,0.978,-7.43279140679848,0,0,2.20761733605177,7.13795455557745,2.45834337736475,-9.32955754725717,0,0,0,3.36418891331603
3,0.295803165753773,1,-0.415,3.7,1.485,0.979,-7.43444454683455,0,0,2.22931730187231,7.15298439445097,2.47506569196818,-9.3521431723753,0,0,0,3.38529487486988
4,0.365247034746778,1,-0.453,3.94,1.543,0.977,-7.42819533932607,0,0,2.14728699204957,7.0961685289525,2.41185192199192,-9.26676488923409,0,0,0,3.30551002268684
5,0.323782261708186,1,-0.43,3.791,1.506,0.978,-7.43192672662876,0,0,2.1962670997021,7.13009315040645,2.4495967173639,-9.31774406398645,0,0,0,3.35314937279305
6,0.343890260101272,1,-0.441,3.862,1.524,0.978,-7.43011722124894,0,0,2.17251460200837,7.11364168609849,2.43129269134208,-9.29302213525318,0,0,0,3.33004706437111
7,0.262222027605503,1,-0.397,3.6,1.461,0.979,-7.4374664910854,0,0,2.2689848953755,7.18045897868691,2.50563412620475,-9.39342975335937,0,0,0,3.42387662704108
8,0.25444021835392,1,-0.393,3.578,1.455,0.979,-7.43816677091585,0,0,2.27817712837094,7.18682570672474,2.512717796904,-9.40299715683597,0,0,0,3.43281723633975
9,0.323782261708186,1,-0.43,3.791,1.506,0.978,-7.43192672662876,0,0,2.1962670997021,7.13009315040645,2.4495967173639,-9.31774406398645,0,0,0,3.35314937279305
10,0.333684830633648,1,-0.436,3.825,1.515,0.978,-7.43103560104807,0,0,2.18456972729506,7.12199131172268,2.4405825491831,-9.30556927669704,0,0,0,3.3417721985456
11,0.354407812809323,1,-0.447,3.9,1.534,0.977,-7.42917075368734,0,0,2.16009078231443,7.10503669520874,2.42171871213786,-9.28009125156133,0,0,0,3.31796332825002
12,0.287024788769467,1,-0.411,3.673,1.479,0.979,-7.43523450713138,0,0,2.23968672676475,7.16016646960415,2.48305652415391,-9.36293581349041,0,0,0,3.39538045218946
13,0.323782261708186,1,-0.43,3.791,1.506,0.978,-7.43192672662876,0,0,2.1962670997021,7.13009315040645,2.4495967173639,-9.31774406398645,0,0,0,3.35314937279305
14,0.323782261708186,1,-0.43,3.791,1.506,0.978,-7.43192672662876,0,0,2.1962670997021,7.13009315040645,2.4495967173639,-9.31774406398645,0,0,0,3.35314937279305
15,0.295803165753773,1,-0.415,3.7,1.485,0.979,-7.43444454683455,0,0,2.22931730187231,7.15298439445097,2.47506569196818,-9.3521431723753,0,0,0,3.38529487486988
16,0.304850020951438,1,-0.42,3.729,1.491,0.978,-7.43363042636216,0,0,2.21863073809717,7.14558266243995,2.46683046786897,-9.34102044871654,0,0,0,3.37490083987249
17,0.333684830633648,1,-0.436,3.825,1.515,0.978,-7.43103560104807,0,0,2.18456972729506,7.12199131172268,2.4405825491831,-9.30556927669704,0,0,0,3.3417721985456
18,0.295803165753773,1,-0.415,3.7,1.485,0.979,-7.43444454683455,0,0,2.22931730187231,7.15298439445097,2.47506569196818,-9.3521431723753,0,0,0,3.38529487486988
19,0.287024788769467,1,-0.411,3.673,1.479,0.979,-7.43523450713138,0,0,2.23968672676475,7.16016646960415,2.48305652415391,-9.36293581349041,0,0,0,3.39538045218946
