"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.117122448318961,0.8,-0.312,3.21,1.365,0.981,-7.44272728511077,0,0,2.4643724274547,7.31596728286712,2.65341716124261,-9.58093332741391,-0.0845575319590324,-0.0518748744401464,0,3.59364947250253
2,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
3,0.117122448318961,0.8,-0.312,3.21,1.365,0.981,-7.44272728511077,0,0,2.4643724274547,7.31596728286712,2.65341716124261,-9.58093332741391,-0.0845575319590324,-0.0518748744401464,0,3.59364947250253
4,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
5,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
6,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
7,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
8,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
9,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
10,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
11,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
12,0.117122448318961,0.7,-0.309,3.192,1.361,0.982,-7.44198190837702,0,0,2.47535917507041,7.32064646366887,2.66188154956513,-9.58616746550305,-0.0957949034907048,-0.0628905141610943,0,3.60075272054218
13,0.117122448318961,0.8,-0.312,3.21,1.365,0.981,-7.44272728511077,0,0,2.4643724274547,7.31596728286712,2.65341716124261,-9.58093332741391,-0.0845575319590324,-0.0518748744401464,0,3.59364947250253
14,0.117122448318961,0.9,-0.316,3.229,1.368,0.981,-7.44347418309429,0,0,2.45336305493204,7.31128076376134,2.64493880876332,-9.57568654746787,-0.0732997841172878,-0.0408401099556346,0,3.58653645169625
15,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
16,0.117122448318961,0.9,-0.316,3.229,1.368,0.981,-7.44347418309429,0,0,2.45336305493204,7.31128076376134,2.64493880876332,-9.57568654746787,-0.0732997841172878,-0.0408401099556346,0,3.58653645169625
17,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
18,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
19,0.117122448318961,0.7,-0.309,3.192,1.361,0.982,-7.44198190837702,0,0,2.47535917507041,7.32064646366887,2.66188154956513,-9.58616746550305,-0.0957949034907048,-0.0628905141610943,0,3.60075272054218
20,0.117122448318961,0.8,-0.312,3.21,1.365,0.981,-7.44272728511077,0,0,2.4643724274547,7.31596728286712,2.65341716124261,-9.58093332741391,-0.0845575319590324,-0.0518748744401464,0,3.59364947250253
21,0.117122448318961,0.8,-0.312,3.21,1.365,0.981,-7.44272728511077,0,0,2.4643724274547,7.31596728286712,2.65341716124261,-9.58093332741391,-0.0845575319590324,-0.0518748744401464,0,3.59364947250253
22,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
23,0.1,1,-0.309,3.212,1.365,0.981,-7.44363521102549,0,0,2.46334847048517,7.32244647027415,2.65152391425895,-9.59146839906644,-0.0788607074198617,-0.0456821553108141,0,3.59475591096744
24,0.117122448318961,0.8,-0.312,3.21,1.365,0.981,-7.44272728511077,0,0,2.4643724274547,7.31596728286712,2.65341716124261,-9.58093332741391,-0.0845575319590324,-0.0518748744401464,0,3.59364947250253
25,0.117122448318961,1,-0.319,3.25,1.372,0.981,-7.44422266858412,0,0,2.44233097225814,7.30658634629067,2.63644658481841,-9.57042711476248,-0.0620214143788898,-0.0297859605040256,0,3.57941374547525
