"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
2,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
3,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
4,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
5,0.750254387002427,1,15.694,944.495,28.787,-0.471,-17.0471681290877,3.93595004801714,0,4.75550459748944,0,0,-2.19224203272395,-2.52740505211991,-0.597256747645898,1.19208893266031,6.56519444288297
6,1.73318494203199,1,14.554,610.753,21.791,0.049,-15.7646242296232,2.13975954198033,0,3.06667083137505,0,0,-3.16900531159876,-1.82984882727959,0,0,4.71433797222965
7,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
8,1.73318494203199,1,14.554,610.753,21.791,0.049,-15.7646242296232,2.13975954198033,0,3.06667083137505,0,0,-3.16900531159876,-1.82984882727959,0,0,4.71433797222965
9,0.750254387002427,0.9,15.382,920.285,28.392,-0.433,-17.0731734220285,4.09157826994038,0,4.76822494157577,0,0,-2.4004671230618,-2.64303870704714,-0.69212252111141,1.41380256868174,6.57431339378453
10,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
11,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
12,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
13,0.493617288153994,0.9,15.717,1046.089,30.661,-0.629,-17.396711268135,4.68626375849011,0.0375449794156313,5.13340314246736,0,0,-2.0398909765194,-2.7926312028717,-1.28025861101238,1.76024066368481,6.99308185153312
14,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
15,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
16,0.493617288153994,0.7,14.905,943.676,28.849,-0.469,-17.2445501936904,4.9814455916699,0,5.07710418656645,0,0,-2.52141509841959,-3.15334287005349,-1.50558290137479,2.1086684211077,6.84532054523825
17,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
18,0.493617288153994,1,16.032,1074.134,31.079,-0.673,-17.3798521515964,4.56802777686476,0,5.15237267408158,0,0,-1.84456170723493,-2.71421461044461,-1.23734825635931,1.60480410436908,7.00784331214599
19,0.493617288153994,0.8,15.284,1010.593,30.13,-0.574,-17.4299792984449,4.86352079453389,0.161214147149574,5.0656491537136,0,0,-2.28386234005955,-2.88081860209838,-1.30672223104216,1.93287631796854,6.98510821933774
