"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,4.91232745131015,1,10.436,283.691,12.597,0.558,-14.2529901303572,0,0,0,0,0,-6.31299213545512,-0.0693891243182805,0,0,0.00899333342748922
2,1.25271756042077,1,15.487,809.815,26.119,-0.261,-16.2421062876609,2.87421982507362,0,3.8840040372914,0,0,-2.36789672345737,-2.03832649836006,0,0.0131669627123735,5.69460202298872
3,4.91232745131015,1,10.436,283.691,12.597,0.558,-14.2529901303572,0,0,0,0,0,-6.31299213545512,-0.0693891243182805,0,0,0.00899333342748922
4,1.29625074479197,1,15.415,791.937,25.77,-0.233,-16.1941929313992,2.80545264644963,0,3.81092678673302,0,0,-2.44006968440471,-2.01993439536938,0,0,5.59895725868462
5,6.23933470757843,1,10.633,342.193,14.102,0.467,-14.221399231679,0,0,0,0,0,-5.97606673766036,0,0,0,0
6,7.92481730484194,1,10.36,420.151,15.573,0.346,-14.0935415997486,0,0,0,0,0,-5.23513774405663,0,0,0,0
7,16.238360707094,1,6.736,687.562,22.893,-0.071,-13.2326867820059,0,0,0,0,0,0,0,0,0,0
8,1.70363222992284,1,14.617,622.935,22.094,0.03,-15.8024402076667,2.18138349124294,0,3.12445884870488,0,0,-3.10815257058481,-1.83784067003227,0,0,4.78157257274492
9,5.82728926263124,1,10.556,321.663,13.622,0.499,-14.2327620422483,0,0,0,0,0,-6.07970768141801,0,0,0,0
10,2.56688309997943,1,12.853,363.342,14.782,0.434,-14.7412373122306,0.957354291008515,0,1.45197075015287,0,0,-4.62438809589454,-1.54164816148351,0,0,3.01511737916236
11,3.37359480574185,1,11.203,271.18,11.626,0.578,-13.8458721968319,0,0,0,0,0,-5.99518978886736,-1.24597796107826,0,0,1.43450289034595
12,6.02979337518577,1,10.594,331.531,13.858,0.484,-14.2271776677687,0,0,0,0,0,-6.02877223942506,0,0,0,0
13,4.43383725321171,1,10.607,272.968,12.157,0.575,-14.1440449477834,0,0,0,0,0,-6.30484090494224,-0.475016305265819,0,0,0.414715588475853
14,7.40146264836991,1,10.61,399.935,15.144,0.377,-14.1576118783348,0,0,0,0,0,-5.55285573801994,0,0,0,0
15,9.08516194943864,1,9.982,467.844,16.686,0.271,-13.9819854993257,0,0,0,0,0,-4.45632815986445,0,0,0,0
16,0.776517441863721,1,15.714,939.126,28.676,-0.462,-17.0065605156922,3.86749534829957,0,4.71556859383812,0,0,-2.18297835907413,-2.49500098868661,-0.545340714724371,1.12023231993106,6.52851714497406
17,2.23904424857063,1,13.524,442.436,16.849,0.311,-15.1451285170196,1.4231425729767,0,2.08792226159976,0,0,-4.04676463266276,-1.65340058282312,0,0,3.68714590117001
18,2.94272382208,1,12.088,302.75,13.272,0.529,-14.2812496230507,0.426616215231575,0,0.725639513629419,0,0,-5.2803561312767,-1.41099160096976,0,0,2.24877394279913
19,5.08303572856763,1,10.418,289.077,12.755,0.55,-14.2532860226833,0,0,0,0,0,-6.2669082386671,0,0,0,0
20,16.238360707094,1,6.736,687.562,22.893,-0.071,-13.2326867820059,0,0,0,0,0,0,0,0,0,0
21,7.15289250144221,1,10.729,391.009,15.068,0.391,-14.1880424059542,0,0,0,0,0,-5.70375763217383,0,0,0,0
22,11.1518724837051,1,9.224,504.562,18.081,0.214,-14.0068559150868,0,0,0,0,0,-2.59722316874357,0,0,0,0
23,6.68051573187474,1,10.714,366.143,14.616,0.43,-14.2092263417122,0,0,0,0,0,-5.86511595436173,0,0,0,0
24,9.08516194943864,1,9.982,467.844,16.686,0.271,-13.9819854993257,0,0,0,0,0,-4.45632815986445,0,0,0,0
25,16.238360707094,1,6.736,687.562,22.893,-0.071,-13.2326867820059,0,0,0,0,0,0,0,0,0,0
26,5.25967628868147,1,10.451,296.287,12.961,0.539,-14.2484148769865,0,0,0,0,0,-6.22247820270126,0,0,0,0
27,6.45615781021574,1,10.673,353.709,14.355,0.449,-14.2154199375184,0,0,0,0,0,-5.92152970218789,0,0,0,0
28,2.31685326887013,1,13.365,421.474,16.084,0.344,-15.0492686620401,1.31259206569567,0,1.93698545567892,0,0,-4.18385861889206,-1.62687787003575,0,0,3.52764632945577
29,4.28493160714632,1,10.634,269.895,11.986,0.58,-14.0978390675472,0,0,0,0,0,-6.28967328472355,-0.590392820343774,0,0,0.541904589124964
30,1.05602426504816,1,15.57,847.344,26.869,-0.319,-16.6173252198847,3.21201490559527,0,4.27649491488133,0,0,-2.34938606416183,-2.23929261236041,0,0.539127052541775,6.08306368102608
31,3.7376659149676,1,10.737,262.22,11.385,0.592,-13.9278872644427,0,0,0,0,0,-6.23637311374,-1.01623827506159,0,0,1.0087650557161
32,1.09272216127257,1,15.563,842.169,26.769,-0.311,-16.5504115264818,3.14475473095287,0,4.20935253418082,0,0,-2.33623598524089,-2.19653642026177,0,0.432414532808318,6.01553120621274
33,1.53768821840031,1,14.952,691.317,23.707,-0.077,-16.0043427688665,2.41443806447788,0,3.44408925646888,0,0,-2.82101187846854,-1.89653181449753,0,0,5.11831661152327
34,3.7376659149676,1,10.737,262.22,11.385,0.592,-13.9278872644427,0,0,0,0,0,-6.23637311374,-1.01623827506159,0,0,1.0087650557161
35,4.58791751895905,1,10.579,276.584,12.335,0.569,-14.1918540510618,0,0,0,0,0,-6.32058675972256,-0.355664149031882,0,0,0.283092194087897
36,2.84389561371457,1,12.291,315.72,13.671,0.508,-14.4028951942692,0.566913331112544,0,0.917251436594731,0,0,-5.10645248373085,-1.44477074190778,0,0,2.45121319123008
37,2.94272382208,1,12.088,302.75,13.272,0.529,-14.2812496230507,0.426616215231575,0,0.725639513629419,0,0,-5.2803561312767,-1.41099160096976,0,0,2.24877394279913
38,4.14102679673725,1,10.66,267.317,11.82,0.584,-14.0531849107496,0,0,0,0,0,-6.27501617322505,-0.701895338186605,0,0,0.664821772546288
39,3.7376659149676,1,10.737,262.22,11.385,0.592,-13.9278872644427,0,0,0,0,0,-6.23637311374,-1.01623827506159,0,0,1.0087650557161
40,7.15289250144221,1,10.729,391.009,15.068,0.391,-14.1880424059542,0,0,0,0,0,-5.70375763217383,0,0,0,0
41,1.38790815029028,1,15.273,757.279,25.097,-0.179,-16.1449871799562,2.64100593910996,0,3.70142638831682,0,0,-2.54973325754073,-1.96989064415328,0,0,5.42828609484779
42,6.45615781021574,1,10.673,353.709,14.355,0.449,-14.2154199375184,0,0,0,0,0,-5.92152970218789,0,0,0,0
43,3.37359480574185,1,11.203,271.18,11.626,0.578,-13.8458721968319,0,0,0,0,0,-5.99518978886736,-1.24597796107826,0,0,1.43450289034595
44,7.40146264836991,1,10.61,399.935,15.144,0.377,-14.1576118783348,0,0,0,0,0,-5.55285573801994,0,0,0,0
45,3.04498640923262,1,11.879,291.648,12.859,0.546,-14.1554692094363,0.281542789565907,0,0.527452278042024,0,0,-5.46011625384554,-1.37596359623327,0,0,2.03942208588446
46,7.40146264836991,1,10.61,399.935,15.144,0.377,-14.1576118783348,0,0,0,0,0,-5.55285573801994,0,0,0,0
47,16.238360707094,1,6.736,687.562,22.893,-0.071,-13.2326867820059,0,0,0,0,0,0,0,0,0,0
