"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Method"
1,0.505393302888158,0,0.115,3.64,1.54,0.988,-7.7004520318728,2.31251549626189,1.98928505171465,2.58021527560339,6.7643199354632,2.70692877656096,-9.41092506521516,-5.23954759156038,3.02121159036831,0.388608211462879,3.8685041405125,"Ridge"
2,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
3,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
4,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
5,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
6,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
7,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
8,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
9,0.467867972355592,0,0.123,3.587,1.527,0.988,-7.69956611100084,2.31854185051355,1.99710510141786,2.5877783405338,6.77922095338326,2.71598278688786,-9.43441848576851,-5.25425933882727,3.02955981930779,0.388360643674856,3.87436454721391,"Ridge"
10,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
11,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
12,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
13,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
14,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
15,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
16,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
17,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
18,0.467867972355592,0,0.123,3.587,1.527,0.988,-7.69956611100084,2.31854185051355,1.99710510141786,2.5877783405338,6.77922095338326,2.71598278688786,-9.43441848576851,-5.25425933882727,3.02955981930779,0.388360643674856,3.87436454721391,"Ridge"
19,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
20,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
21,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
22,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
23,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
24,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
25,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
26,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
27,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
28,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
29,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
30,0.743293460451421,0,0.066,4.05,1.636,0.987,-7.70608300896049,2.27498832005137,1.94096207398912,2.53329486826956,6.67138322215467,2.65086758342666,-9.26479274588129,-5.14819725452147,2.96927160175137,0.390024573146309,3.83155114184541,"Ridge"
31,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
32,0.505393302888158,0,0.115,3.64,1.54,0.988,-7.7004520318728,2.31251549626189,1.98928505171465,2.58021527560339,6.7643199354632,2.70692877656096,-9.41092506521516,-5.23954759156038,3.02121159036831,0.388608211462879,3.8685041405125,"Ridge"
33,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
34,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
35,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
36,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
37,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
38,0.743293460451421,0,0.066,4.05,1.636,0.987,-7.70608300896049,2.27498832005137,1.94096207398912,2.53329486826956,6.67138322215467,2.65086758342666,-9.26479274588129,-5.14819725452147,2.96927160175137,0.390024573146309,3.83155114184541,"Ridge"
39,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
40,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
41,0.505393302888158,0,0.115,3.64,1.54,0.988,-7.7004520318728,2.31251549626189,1.98928505171465,2.58021527560339,6.7643199354632,2.70692877656096,-9.41092506521516,-5.23954759156038,3.02121159036831,0.388608211462879,3.8685041405125,"Ridge"
42,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
43,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
44,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
45,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
46,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
47,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
48,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
49,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
50,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
51,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
52,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
53,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
54,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
55,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
56,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
57,0.743293460451421,0,0.066,4.05,1.636,0.987,-7.70608300896049,2.27498832005137,1.94096207398912,2.53329486826956,6.67138322215467,2.65086758342666,-9.26479274588129,-5.14819725452147,2.96927160175137,0.390024573146309,3.83155114184541,"Ridge"
58,0.505393302888158,0,0.115,3.64,1.54,0.988,-7.7004520318728,2.31251549626189,1.98928505171465,2.58021527560339,6.7643199354632,2.70692877656096,-9.41092506521516,-5.23954759156038,3.02121159036831,0.388608211462879,3.8685041405125,"Ridge"
59,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
60,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
61,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
62,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
63,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
64,0.505393302888158,0,0.115,3.64,1.54,0.988,-7.7004520318728,2.31251549626189,1.98928505171465,2.58021527560339,6.7643199354632,2.70692877656096,-9.41092506521516,-5.23954759156038,3.02121159036831,0.388608211462879,3.8685041405125,"Ridge"
65,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
66,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
67,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
68,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
69,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
70,0.467867972355592,0,0.123,3.587,1.527,0.988,-7.69956611100084,2.31854185051355,1.99710510141786,2.5877783405338,6.77922095338326,2.71598278688786,-9.43441848576851,-5.25425933882727,3.02955981930779,0.388360643674856,3.87436454721391,"Ridge"
71,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
72,0.505393302888158,0,0.115,3.64,1.54,0.988,-7.7004520318728,2.31251549626189,1.98928505171465,2.58021527560339,6.7643199354632,2.70692877656096,-9.41092506521516,-5.23954759156038,3.02121159036831,0.388608211462879,3.8685041405125,"Ridge"
73,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
74,0.688104100745349,0,0.077,3.944,1.613,0.987,-7.7047743547758,2.28358554719894,1.95198482000885,2.54401516113736,6.69272061507471,2.66367373343759,-9.29826573821728,-5.16909984163274,2.98116932166357,0.389719097520721,3.84009202835808,"Ridge"
75,0.467867972355592,0,0.123,3.587,1.527,0.988,-7.69956611100084,2.31854185051355,1.99710510141786,2.5877783405338,6.77922095338326,2.71598278688786,-9.43441848576851,-5.25425933882727,3.02955981930779,0.388360643674856,3.87436454721391,"Ridge"
76,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
77,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
78,0.637012537652362,0,0.087,3.851,1.591,0.988,-7.70356512143519,2.29161608113399,1.96228468382737,2.55404995586774,6.71256797371252,2.67562769637886,-9.32948656882365,-5.18860249696113,2.99226963252198,0.389423699950434,3.84801618761802,"Ridge"
79,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
80,0.545928350936733,0,0.106,3.701,1.555,0.988,-7.70140986840413,2.30603980567526,1.98089916226747,2.57209745824175,6.74829708247786,2.69721384442296,-9.38568530306775,-5.2237497806541,3.01224229569991,0.388868041151477,3.86218315772736,"Ridge"
81,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
82,0.589714510764809,0,0.097,3.771,1.571,0.988,-7.70244546262209,2.29908409789794,1.97191151471525,2.56338842583095,6.73107404433826,2.68679509767791,-9.35858071737316,-5.20679344377937,3.00260976885218,0.389139978663316,3.85536640266577,"Ridge"
83,0.743293460451421,0,0.066,4.05,1.636,0.987,-7.70608300896049,2.27498832005137,1.94096207398912,2.53329486826956,6.67138322215467,2.65086758342666,-9.26479274588129,-5.14819725452147,2.96927160175137,0.390024573146309,3.83155114184541,"Ridge"
