"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.289882212766128,1,0.236,9.48,2.163,0.961,-5.06076627993657,2.19120353225355,2.27043771479978,2.25401935580844,6.58565744895927,2.53629567384769,-9.43498654844774,-5.28405243037728,2.73058989610329,0,3.43656414211024
2,0.360898296169322,1,0.224,9.943,2.224,0.959,-5.06688261138179,2.13079923479054,2.20541415799254,2.18111973065454,6.52217344498525,2.4575631461819,-9.36285496043715,-5.20595789166808,2.64015518712916,0,3.38113109730486
3,0.299099935766899,1,0.234,9.535,2.17,0.961,-5.06156016557967,2.18336319446825,2.26199780785967,2.24455715345473,6.57741737240802,2.52607637426941,-9.42562403553482,-5.27391594028661,2.71885168051843,0,3.42936906139586
4,0.308610765462656,1,0.233,9.593,2.176,0.96,-5.062379295331,2.17527354831302,2.25328952734954,2.23479407041076,6.56891527652681,2.5155321196969,-9.41596381187311,-5.26345712839164,2.70674021119457,0,3.42194519030362
5,0.328549322328669,1,0.23,9.72,2.191,0.96,-5.06409652354872,2.15831436861453,2.23503343911005,2.21432668820679,6.55109143490305,2.49342708510696,-9.39571206465665,-5.24153121631144,2.68134965878541,0,3.40638174519171
6,0.272290233142742,1,0.238,9.381,2.151,0.961,-5.05925115303858,2.20616677887617,2.2865452362453,2.27207792309071,6.6013835950772,2.55579915750971,-9.45285485891595,-5.30339787253395,2.75299222359419,0,3.45029591874374
7,0.308610765462656,1,0.233,9.593,2.176,0.96,-5.062379295331,2.17527354831302,2.25328952734954,2.23479407041076,6.56891527652681,2.5155321196969,-9.41596381187311,-5.26345712839164,2.70674021119457,0,3.42194519030362
8,0.372374200447116,1,0.223,10.027,2.239,0.959,-5.06787098515338,2.12103815106931,2.19490662113662,2.16933945384875,6.51191469347624,2.44484029654358,-9.35119879524545,-5.19333813839675,2.62554131356921,0,3.37217334737656
9,0.299099935766899,1,0.234,9.535,2.17,0.961,-5.06156016557967,2.18336319446825,2.26199780785967,2.24455715345473,6.57741737240802,2.52607637426941,-9.42562403553482,-5.27391594028661,2.71885168051843,0,3.42936906139586
10,0.299099935766899,1,0.234,9.535,2.17,0.961,-5.06156016557967,2.18336319446825,2.26199780785967,2.24455715345473,6.57741737240802,2.52607637426941,-9.42562403553482,-5.27391594028661,2.71885168051843,0,3.42936906139586
