"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","Method"
1,13.8172216519019,0,9.957,1261.783,31.649,-0.137,-17.4952665321418,1.87446250985592,0.908053907312166,2.79153039423382,-2.23676679416469,-0.568777769219756,-1.4461906294683,-2.20179505661589,-0.772027164921325,-0.7989586679817,-1.01612732967565,0.956698105871797,-1.60712133758099,1.7649619944348,-1.37013183972672,4.6450367024012,1.17249999998538,2.08087134833732,-3.46875856159418,-3.16020041791913,-2.89299323674502,-0.406779008621228,-1.95778100342098,-5.76740350155128,-0.178169899930936,-0.183310656935528,0.421711349119927,5.51484139716823,-1.11251198244346,-2.90424215718672,-1.81079820472332,-1.88339128602043,-2.14012625510917,-0.846342632308757,-1.4368916367554,-4.12833214382519,-4.25972720139072,-3.73349598903131,5.86012903891053,0.350974105100364,-0.517204617131974,"Ridge"
2,30.9962651876538,0,12.053,1303.397,31.826,-0.175,-17.5343550144841,1.25650221565197,0.577195622603396,1.85948751316672,-1.77662438603059,-0.618869395486843,-1.52517027652822,-1.61211575594863,-0.840977131298626,-1.05389669756324,-0.385058717084434,1.00221133672132,-1.35939185796448,1.49797621590611,-1.04699898074801,3.49445820205179,1.16722627338817,1.92973392090256,-2.86232426360518,-2.63418446064372,-2.57141680021582,-0.328962109828912,-1.67889815075528,-4.37360427136554,-0.117198504516826,-0.476200721228213,0.290185955191509,4.41727548286084,-1.92123700276691,-1.96061306514832,-1.71719867525485,-1.57836473431041,-1.81834516413338,-0.371113328248722,-1.17103165197086,-3.09207919947811,-3.48324457459968,-2.99281822162845,4.58013012970613,0.166170500819079,-0.606252601890564,"Ridge"
3,6.15931025954154,0,7.894,1225.132,31.256,-0.104,-17.2598997028913,2.43946279576235,1.17279987354971,3.65118511920946,-2.49352958557442,-0.585049450685369,-1.29013217677347,-2.71967974652931,-0.726881145365734,-0.405419442079949,-1.5372896938539,0.821352801486675,-1.71177793020524,1.90843303274236,-1.6193650760553,5.50816547907351,1.09891517065352,2.142374327928,-3.92449090016564,-3.5081895282923,-3.12497999170266,-0.518569429096781,-2.05503377202634,-6.82915050460358,-0.232851891832648,0.272570098732602,0.459004553791765,6.20930206261798,-0.103841867348274,-3.7018245665768,-1.79415390842324,-2.03400497556992,-2.26171170158474,-1.33917688637036,-1.62691568730183,-4.99905507593044,-4.66672955507451,-4.28105545939633,6.81930312786933,0.575071219184227,-0.370231697888719,"Ridge"
4,30.9962651876538,0,12.053,1303.397,31.826,-0.175,-17.5343550144841,1.25650221565197,0.577195622603396,1.85948751316672,-1.77662438603059,-0.618869395486843,-1.52517027652822,-1.61211575594863,-0.840977131298626,-1.05389669756324,-0.385058717084434,1.00221133672132,-1.35939185796448,1.49797621590611,-1.04699898074801,3.49445820205179,1.16722627338817,1.92973392090256,-2.86232426360518,-2.63418446064372,-2.57141680021582,-0.328962109828912,-1.67889815075528,-4.37360427136554,-0.117198504516826,-0.476200721228213,0.290185955191509,4.41727548286084,-1.92123700276691,-1.96061306514832,-1.71719867525485,-1.57836473431041,-1.81834516413338,-0.371113328248722,-1.17103165197086,-3.09207919947811,-3.48324457459968,-2.99281822162845,4.58013012970613,0.166170500819079,-0.606252601890564,"Ridge"
5,5.24027830479085,0,7.537,1220.064,31.179,-0.1,-17.2121061751691,2.53427306515515,1.2136750930997,3.7981643867574,-2.52312569096341,-0.596077344266311,-1.26080617895317,-2.80314415351756,-0.72231331124171,-0.326700745574343,-1.61631815978802,0.792824720742377,-1.71986928320212,1.93026902068513,-1.6577599101088,5.63705666408915,1.08542523908922,2.1508010804077,-3.99522424659353,-3.55584888712448,-3.16696400933831,-0.545096452317295,-2.0572821865147,-6.99186774194783,-0.246816211726405,0.362777067351396,0.453239075746534,6.30163281384147,0.0791338220313159,-3.82855681710162,-1.78515289362049,-2.0495062142617,-2.26743330653302,-1.42549279105177,-1.65828800843641,-5.14045172906949,-4.7179920467291,-4.36330023649567,6.96622801881193,0.617892773071259,-0.340152243680859,"Ridge"
6,4.45837529764342,0,7.196,1215.543,31.102,-0.095,-17.1636953407342,2.62413511378315,1.25978506407234,3.93454011726372,-2.55193075555659,-0.607239046449358,-1.23523057405551,-2.88140006211135,-0.721560730136804,-0.25284313928239,-1.68365138389813,0.76949838668266,-1.72707272974765,1.94916815027965,-1.6949805835098,5.75546937169042,1.07559407977668,2.16184892129152,-4.06342536431131,-3.59795702339383,-3.20755803363733,-0.566974091093396,-2.06212296543894,-7.13909907465874,-0.25526950223606,0.458220757296497,0.441948301918933,6.37836126182313,0.257340072116038,-3.93964628768091,-1.77832701995484,-2.06358904997339,-2.26867729455051,-1.50464722732308,-1.68730689533862,-5.27025984069043,-4.75566888646592,-4.4356050529111,7.09024390726533,0.658113801693274,-0.307237962306511,"Ridge"
7,2.53252985287841,0,6.223,1205.822,30.905,-0.087,-17.0325334329187,2.88246851663365,1.37357032279492,4.33421552168413,-2.60991097591828,-0.653412586369561,-1.15358201625346,-3.08629864398822,-0.718912584182921,-0.0204726511185472,-1.86003242296463,0.68897881037219,-1.73028916240021,2.01285070145092,-1.79390183864226,6.05879431356606,1.05108963026566,2.19067324467182,-4.24452404761606,-3.69706076940064,-3.34602053206703,-0.65582973001578,-2.0452795598911,-7.53954711801006,-0.307836714705861,0.734395329406475,0.383489329430487,6.57048915157377,0.761862106627302,-4.25418139903174,-1.75037383928225,-2.08749232314134,-2.25252272984047,-1.73690628033262,-1.77766751524392,-5.63480377786952,-4.86581722923298,-4.63524987666136,7.44077372973813,0.785230080847488,-0.210384124016822,"Ridge"
8,24.3244357514236,0,11.462,1292.092,31.813,-0.164,-17.5580276047347,1.43711377455974,0.680788189268644,2.13262182103147,-1.93501526861816,-0.601018781642447,-1.52015808977099,-1.78834915761874,-0.824144503222628,-1.00412888832225,-0.571521342078236,1.00582608599495,-1.44993306558935,1.59510122877584,-1.1485812210216,3.85870276180034,1.18544075635224,1.99119548536579,-3.05855993638756,-2.80829012407436,-2.68450068786273,-0.348726558039828,-1.78264119917529,-4.81333124995603,-0.137207623643934,-0.415439186419002,0.335606935351282,4.78196352243951,-1.7296323429898,-2.24412983449009,-1.76227324973356,-1.68595053253885,-1.93646382149625,-0.500598020861704,-1.260595765644,-3.40909690818983,-3.75621130713713,-3.22782330548259,4.98582809506104,0.213046123468325,-0.58898279901079,"Ridge"
9,7.23952062595802,0,8.279,1231.128,31.339,-0.11,-17.3114998376163,2.33616054123436,1.12238557335861,3.4945288482365,-2.45488220933234,-0.576719328170854,-1.32019597338249,-2.62748989325134,-0.73090776266532,-0.484778045545555,-1.45143782512394,0.848126255144148,-1.69927382636152,1.88597221076583,-1.57579628236607,5.36245528641522,1.11287313513491,2.13148946244415,-3.84440488249061,-3.45315429294376,-3.08061808130849,-0.495611966689307,-2.04473363039309,-6.64932136163475,-0.223869943383492,0.174567280340084,0.461859578905663,6.10435951034304,-0.301035135052918,-3.5649068421438,-1.80042601157338,-2.01381317438633,-2.25131667415273,-1.24794179479287,-1.59357139523626,-4.84531187828345,-4.61101268333846,-4.1907081511407,6.66211730847255,0.530941232572735,-0.402888537715781,"Ridge"
10,4.83354190494468,0,7.366,1217.816,31.141,-0.098,-17.1886026547269,2.5801275747912,1.23437737219974,3.86836976516038,-2.53690841598414,-0.601690658713319,-1.2467696347727,-2.84194336562956,-0.721230904493682,-0.288605254759307,-1.65166958518419,0.779354987840481,-1.72274523199136,1.94049897234424,-1.67620243607562,5.69643477336456,1.07964175886131,2.1552099071904,-4.02873254612466,-3.57714388653282,-3.18842528091713,-0.557761865243,-2.05849607792351,-7.06719108564682,-0.253275472492429,0.408495558893787,0.448245630242289,6.34275004024675,0.16756343687191,-3.88769678708553,-1.78130640314411,-2.05596091574034,-2.26879657350647,-1.46646735567843,-1.67325486248292,-5.20700351081355,-4.73959256098149,-4.40125311816915,7.03269507738845,0.638774844389201,-0.324809360114331,"Ridge"
