"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Method"
1,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
2,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
3,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
4,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
5,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
6,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
7,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
8,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
9,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
10,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
11,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
12,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
13,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
14,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
15,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
16,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
17,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
18,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
19,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
20,0.1,0,-0.013,0.019,0.11,1,-7.72625378625766,2.43281072567231,2.18813933915126,2.45539277497448,7.16069517935631,2.78820563946333,-9.73368376266975,-5.31624030757146,3.29602928199136,0.290693613960657,3.83206264489773,"Ridge"
21,0.107952657857533,0,-0.012,0.022,0.117,1,-7.72702403142066,2.43180325576248,2.18811948286389,2.45418930363696,7.15604908403965,2.78689712240753,-9.72780290210159,-5.3137452975217,3.29348414233118,0.290311878509077,3.82883931803241,"Ridge"
