"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,22.0290352990499,0,11.046,449.64,15.316,0.3,-15.3373068861076,2.33551435719711,0.0755059209299925,1.37817274314092,-1.83653055805826,0.145725524108182,-3.8928872864431,-3.79941966712862,-1.37466787367743,0.479975415301459,3.91396950898968
2,17.3015588182869,0,11.184,439.326,15.164,0.316,-15.3562484112427,2.62112617550569,0.123616128143602,1.59918501202715,-1.77058977844478,0.341111105806969,-4.04292589204192,-4.17953542408904,-1.44320558727629,0.659180954424994,4.29851312265917
3,16238.360707094,0,6.777,685.012,22.843,-0.067,-13.2567419722563,0.0076679523398001,-0.00544342824881657,-0.00172847235507097,-0.019166080970884,-0.0155135983277515,-0.0300182870610252,-0.0167230379709154,-0.0105149756500059,-0.00370452917688085,0.0176864865755242
4,16238.360707094,0,6.777,685.012,22.843,-0.067,-13.2567419722563,0.0076679523398001,-0.00544342824881657,-0.00172847235507097,-0.019166080970884,-0.0155135983277515,-0.0300182870610252,-0.0167230379709154,-0.0105149756500059,-0.00370452917688085,0.0176864865755242
5,35.7121477310119,0,10.69,472.609,15.49,0.264,-15.2600082076404,1.77885048264897,-0.0147651046767093,0.955913556177394,-1.86591678548068,-0.213376191606351,-3.50502229398884,-3.03892862823902,-1.21989463971654,0.182143480728471,3.1463738639381
6,267.342505458347,0,8.403,592.084,20.499,0.078,-14.1980886464624,0.375844469570458,-0.147232302020373,0.037605573550843,-0.832436830231474,-0.516680615115594,-1.30738512699988,-0.794187232489781,-0.457869136120564,-0.129259470308105,0.843010186589049
7,193.725899793309,0,8.779,572.573,19.813,0.108,-14.405846895672,0.494146881762184,-0.157136541282327,0.0885947778786221,-1.03067881638412,-0.584477265936667,-1.6294777616614,-1.02267931829095,-0.569436728903865,-0.143749569038957,1.08366219742994
8,16238.360707094,0,6.777,685.012,22.843,-0.067,-13.2567419722563,0.0076679523398001,-0.00544342824881657,-0.00172847235507097,-0.019166080970884,-0.0155135983277515,-0.0300182870610252,-0.0167230379709154,-0.0105149756500059,-0.00370452917688085,0.0176864865755242
9,15.963023454016,0,11.223,436.063,15.106,0.321,-15.3605312906687,2.7152130828747,0.139962459330544,1.67266527236174,-1.74260984707713,0.406519146329964,-4.08678511885349,-4.30402006382156,-1.464783448936,0.722029769151987,4.42468582331067
10,25.8782939917489,0,10.94,456.951,15.394,0.288,-15.3176642663665,2.14852889852546,0.0437479676716708,1.23412485192439,-1.86209126672404,0.0203319193875648,-3.77611367043585,-3.5448108781293,-1.32556237993828,0.371392822710252,3.65694034990806
